component_number,component,explained_variance_ratio,cumulative_explained_variance
517,PC517,3.518547334057226e-19,0.9999999999999997
518,PC518,3.3694940574829666e-19,0.9999999999999997
519,PC519,3.302431226749184e-19,0.9999999999999997
520,PC520,3.2444115217279544e-19,0.9999999999999997
521,PC521,3.1339317264166195e-19,0.9999999999999997
522,PC522,3.0139860907160033e-19,0.9999999999999997
523,PC523,2.958073146740249e-19,0.9999999999999997
524,PC524,2.872717857319128e-19,0.9999999999999997
525,PC525,2.8406018782838813e-19,0.9999999999999997
526,PC526,2.758691377307804e-19,0.9999999999999997
527,PC527,2.616855323630983e-19,0.9999999999999997
528,PC528,2.505459327778757e-19,0.9999999999999997
529,PC529,2.398897218061441e-19,0.9999999999999997
530,PC530,2.341306289749967e-19,0.9999999999999997
531,PC531,2.233003204329109e-19,0.9999999999999997
532,PC532,2.1671916130263497e-19,0.9999999999999997
533,PC533,2.0505791579086443e-19,0.9999999999999997
534,PC534,2.0118855438538722e-19,0.9999999999999997
535,PC535,1.773596884574315e-19,0.9999999999999997
536,PC536,1.4430680336312817e-19,0.9999999999999997
537,PC537,1.3896359896628344e-19,0.9999999999999997
538,PC538,1.0512227369872497e-19,0.9999999999999997
539,PC539,7.640694479656139e-20,0.9999999999999997
